channelId,channelTitle,subscriberCount,viewCount,videoCount
UCm43qB4VP47Er31Egu6CTxg,예능국장님,52800,162071316,573
UCjuETo87rYkh1OYfq8mUeIA,크크랜드,11400,31069652,422
UC3dOqtgCdsS2tFKIUNsJDxw,드라마잼,15400,74573968,158
UCBgyZyzwlIuOE4E5NNTRNfw,스윗무비,45200,223866481,346
UCY_QscYFA1H-6bgQe4ug51Q,1분팡,17800,88677328,351
UCfn4ZZuQHGkNg8PZtNNRIIg,예능내컷,91700,343857876,494
UCakQRoujZx77RGGbi_27g6A,90년대생,11700,31714680,88
UCvtEf7lPZc2ApkWED0m_MsA,심슨극장,39800,100363783,295
UCMMx5jGFIQn8UNBg8sGvpmQ,드라마 핫쇼츠,282000,537094248,1731
UCBhoEq4U6LXjWd-yUz7zOPg,나의명언은,10600,15984521,155
UCeyxZxlt6mN_1_LZd0m7XOw,이야기술사,75900,171644581,645
UCKNdfTZCJuOQfWN5Pe5UAAQ,빨강도깨비,895000,471408539,651
UCBv5IeJ8VmtKZ_o3z5t9_HA,고구바,57900,74947961,420
UCwPdMoWKa03noYwjEQF_E5g,무비팍,50900,211106243,571
UC3R4lXnRYJqSMMUFbU9PrkQ,숏팅스타 ,156000,1320626875,879
UClVUrrc1TqZpEkFxJXlYQAw,용산,12600,14744751,46
UCC38K-xXW3mAdm-EKNIWc4g,마드필름 Ma:de film,14500,26774389,98
UCxwbkSqhPiWdH3KkWFXG1UQ,easymag,12700,44350575,201
UCBwwsye4U1YkrQyznncUkhA,씬무비,12900,51153252,90
UCz58yrNG8TP1HIm1NlB5z6Q,ROTEIRO ABERTO,71000,19664655,500
UCbYNi5gs7R3MjXpPAw8lpcg,슴슴도치,24800,168989313,154
UCudU-KmGaP-4QFPtBpRuCIQ,킥킥쇼츠,31600,38325132,78
UC_Aly3X5CdojHdRDGmKi1ow,엔스Ens,500000,308374006,557
UCAVFRIdu3yhXROEdeUOzVCw,멜로컷,27300,46165052,77
UCejeuL7B6s8UpsNaYWWzeEQ,미남재형,688000,805230732,310
UCLvk7dfQZRLieDesCF232sg,시간 훅 가는 쇼츠,91200,495343487,330
UC_mweXsc6I3PC7ckCSMe3Xw,흑태양짱구,12900,23636205,77
UC8pqfCpRwtOeVG3lfvlkb9w,1분예능모음zip,603000,2189703743,1897
UC6woCAHfQvaEcsVGydmG1tQ,짧을숏,218000,524690235,883
UC8BnU7nHUeQ3S1EGuSLl-qA,인간빌런,12900,8907894,30
UCtpDRkcbDWigQ3VhTCv0Xjw,플레이시네마 -1분 명장면,14800,38512488,183
UCjBZKi-coSFgQGnr3gzyoHQ,클래스S,16200,44556334,248
UCg4HN76xqWBPQCSzxPEj5-Q,탁히,10500,33569685,72
UCQTqKcCkodd7tiRrAzlqo-A,폭스토리,78100,147060082,145
UC_cYSffBupk_VwjPmmhLjCw,웃어요,34600,80846127,223
UCc73UrF2glN2L4ycZJWCLkg,예능chill번지,108000,54217739,318
UCmlzLklGeKTkmy112ILwAwQ,뭐볼거없나,142000,713463644,396
UCWwK-ls7Cr4g_ctG15seTeQ,그거참재밌었지,121000,4366255,42
UCKQNDrIaRCPAwFEoZQAt73g,예능보따리,318000,19148062,329
UCPrErKfV-Y9BNYhli1b7ACw,코미디엑기스,11600,22139513,69
UCQxgH6bT9P3bOVRwXgEHyjA,ยุทธ จ๋า ชาแนล,11500,4197205,133
UCIAgiD61TiS3TVLk7fBrehQ,너의 과거,60400,45497616,198
UCQneAQzVX0H6XMc7ElhlFDQ,G명언,19400,70021637,124
UCF24NMvY6K0wUUaRR2jscQA,일분일초,368000,1274577606,1133
UCJN09npM6f8THcvpiiqlubw,쇼츠빅리그,29300,70491661,82
UCZPr7AOucG3JRPfmACqWbrw,연예 팬클립,19200,95103330,138
UCnsRFSp9BfN3lcEaKk2CLpA,애니볼래?,11300,15424598,32
UCc0pppYjqAOVmfGXMIROppw,영철tv(yeongcheol),38600,14594264,105
UCw_-4vndea_ySgEIc7dTvdg,쇼츠펀,65400,156389808,799
UCcWXeluvExN8-eo_5KFfyjw,버미쌤,867000,297976806,455
UCkJ8rQnTnJrWPVnbu0hsyBw,유머탐험대,15200,9493076,70
UCW2hKXklYTXK7upjzcNLjyA,Pak Dito,15300,10234737,293
UCeW--_lfExAL803_daBiFVg,Mr D Woodworking,52600,17139064,56
UCkM0LRI4Wi8nihg-IttEYHQ,자전거 읽어주는 남자,244000,122728809,397
UCRKsLECGa4TEep-KhDL6dYQ,Krish Desai,43300,48087139,61
UCelaR6G8YdgdCDcRV7i8x3Q,S9MOTORS 에스나인모터스,15600,9932013,748
UC35F9WnUgEoY_Pd2jOy5Ktg,알룔료,10200,3571454,3
UC3pCBRbdO8lDFRJw9GtNL4w,K-자동차,13800,62825870,509
UCT1kwFpz5p1zI5DYNZtoxJQ,썰플,23300,85221571,242
UCTg6xvzr4uc8-oZXLcd2zAw,삶은라이프,108000,112980645,364
UC6lYdrYnNC1hD4T089AGTKg,노라준카,42800,55961790,333
UCU-ltMMSmo03bQEx76C-zZw,Truckershaderoom,40200,45472284,1304
UCUj6rrhMTR9pipbAWBAMvUQ,침착맨,2770000,3276269749,7558
UC-Soj8cT2IuLefpPffFugVQ,유휘,79600,181219654,726
UCGyA4MkaU2STMEKF78mZRug,ATS TREINAMENTOS,29300,29630853,110
UCRcFdEQDfe5d-wutz3yJPEQ,배꼽유머,81900,128868929,436
UCPMU3PoR_NRcCxu0X3Liiiw,야우냐?,410000,1328249694,1291
UCq2vJ43ZiuL0Sd-scrw6Ezw,그의 인생은,14300,75307388,152
UC1Sv4uLAUpPJPmnUXIESR4A,mazen wehbe,61400,60630255,531
UCxGHa_vdppJNVLmQShNVnrA,Bliss Bits,1070000,937690688,1098
UC3khiHr1souRBk8uXV2UVDQ,차의세계,15500,46365593,268
UC-JrY3OsVEKmi3qgSVZ1r8A,지식봄,13400,9431011,23
UCXmYEJeTYVRXtLLUaoY01IA,유머스낵 쇼츠,381000,1335481362,1055
UCXPOR4gQVDrGXPf3_JEmcRw,방구석지구촌,460000,1107821630,571
UCCvK3BFTnMc_sg4jcKIGKlw,MMK GEAR / 폴황,124000,153711363,5300
UCXTQWsvCnuKxqnbBFMYhrSA,별놈들,1300000,913767263,1500
UCCEQiGTXVdTXleZaHvePm7Q,IT’S  ME VARUN 2.0M,22400,13226057,685
UCH5U89kvHrVxxS80xpoOydw,한문철 TV,1780000,2757405488,27740
UCvJnb0ty7RpquJKouRBeEzQ,픽플러스,738000,902197266,1120
UCAnu8zuqomikJ58d6MsW_kw,김누킴,66900,86337131,483
UC3-9Ul8LOKJzQMdo1nFb_sQ,강석주,37400,331930940,367
UCHuLV8eMXQcC12X5REeMQlA,Watchawit,186000,172471989,273
UCDyb7hB6TwGxP25o9hGCqwA,유머스낵,431000,888926068,881
UCxqMVa2tT-1NaOa2n0mpNTQ,리틀포크맨,50600,96444078,907
UC2CVk5F3Uyl6LKU9p8CNRnA,Handy Space,1060000,894483612,501
UCqnbAnSDiLYynzME9lgNvfg,남탕,25000,30856796,14
UCONmx25iw0zaJcFg9ZHY1mQ,다 잇다,25600,12527778,457
UC9nFMAQcn0bqIrEV9vUdU1g,사나이 김기훈,1110000,871452118,998
UCC9BJCo0Eh19hg2ulED0Hwg,짤의민족,220000,362138830,251
UCM7lS3kI_xnDCdWndUybZRA,남자마켓,34000,12194053,76
UCX3KEmJd6CXRNH6YVa9AoOQ,JASON MEDIA,525000,1830966244,1577
UCZ0a2TA-EzL_1KJ2vWx2cNw,김툰,20600,40900944,354
UCK4tU5I6ohnHeq_8rbE1wWA,Sukhbir Skill,1830000,937966800,354
UCPbxBhcZMq8NMq0EuXxGuAQ,중고차파괴자,617000,364921415,451
UCLgIpbxquWUnIFvWLb9v1MA,짤타쿠,10800,50393904,112
UCrMcLCFW9en-qEQayUrs0Bw,행복한 인생 길잡이,31900,87914748,237
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,375000000,75534569244,854
UCB2y4U9UpRd4Y2Lmow-Hzzg,HRS POWER,17800,3120587,170
UCJ5kSjbFvKzRjyoK156j-UQ,면류관,50600,123490946,261
UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,76700000,38452965087,2354
UCtA4muF8jjTxjvC9TIeqAMA,LEE CHANGSUB - Topic,15100,123253556,81
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,30400000,24192058387,2328
UCwZQh9xaDypKdmUafh1JaVQ,Release - Topic,3,55423,2
UCfCiP0obFQZOB6fJqN-eF8A,KiiiKiii - Topic,5190,5539865,2
UC9oomNHPNLrh819sxCgcYTA,10CM - Topic,9930,718670623,222
UCIwE33gDkznkuot-fU-WcOg,BOYNEXTDOOR - Topic,10200,135445038,41
UC9HhDGbto7PIQP8ZFmKESkg,OVAN - Topic,13000,216711625,125
UCRfVrZpe3TA-LB4rutWAtkg,G-DRAGON - Topic,235000,597555782,210
UChLNWcjgBfZ9RPnzR5LM1mQ,j-hope - Topic,1890000,182297470,53
UC_qHgUYj1AD49hrAdRw1eGg,YEJI - Topic,14800,1887689,8
UCjglaxl4u4x1hG9vA0OZL2Q,Choi Yu Ree - Topic,28900,307550860,109
UCod5V2dpnpJLklGvVOv5FcQ,STAYC,1770000,1323923904,1547
UCvAUJvMNPy1LLVKpFiu-X9w,SEULGI - Topic,59700,87256245,39
UCx45MLSBioJvR5CAL786nTA,Onestar - Topic,14200,229747388,110
UCAl7xQ6q0PEgZMQD7zr4AKQ,JENNIE - Topic,679000,417138022,50
UCkN6oIPrS-ovf5AU9BD7KCg,OGAM Entertainment,184000,152265434,6378
UCC3Hg75KxQk4VTrBSphEbGw,Hearts2Hearts - Topic,8300,9032721,4
UCwZMmIVr07VLAfNcuqg9LZA,다비치 DAVICHI,272000,625795785,177
UCGKXb1syicud01CJOOFRykg,Lady Gaga - Topic,144000,3794445042,2573
UC-clMkTZa7k-FxmNgMjoCgQ,LE SSERAFIM - Topic,35400,1389025207,146
UC4UnP3v-iaFaLdtKwp84Pmw,이찬원,402000,493217607,236
UCk-JTg4sjiascKX6ZM2-DEA,DisneyMusicKoreaVEVO,253000,277395526,162
UCtvuQvvX9lFut_K8OdIn6qg,Dogophile -pet parent ,12600,7221889,42
UCWcYeZzQYcJXWragaTfZzfQ,고슬홍차세상,11800,5137353,178
UCE1H4sQdFeFRbuOFcliky0A,버디 buddy_beast,15600,8614489,20
UCaQEpOgPoBizJihfJ7CW6og,애니멀숏츠,19800,14060629,95
UCRWxH4fGhuNsh0klWnDbt0w,언더월드 UNDER WORLD,1220000,905381791,383
UC4MTOz8ZeRjT4ksmRA7Q_4Q,유니랜드,129000,309766828,508
UCBxaSof3Z3bYHoKrjqxpeEg,힐링포옹,10800,2067967,45
UC3DRoU5E0CZMljHpouRAzgQ,Mystic Chronicles,368000,120033863,195
UChBRTHSyiah6poSscWqptBg,숏여우,86300,251956146,233
UCH7ZmSDIcuWXErEPN-MJyqg,타임쇼츠,24300,30432458,189
UCQbN3pcS7LAYfNvzdjQTE1g,호기심탐구소,134000,232169378,303
UCkkQrCGwsC_1LWRcUz81ZyA,상냥스럽개,68100,60969984,113
UCyRoynZRY026vew0Ix41bhw,리뷰띠,519000,863308856,463
UCr4CatqympoNVEzGirUSgfg,톡톡 동물 지식,423000,998194479,1306
UCGEsS4iwOkog6ooCEzjuGiA,협박남,153000,29485818,46
UCX7dAdIiSo1DmW8wi0xDM4w,우린만났다,24800,47656602,124
UCHSngYqwXWEgBU6z9pQAj0w,숏숏,307000,27704259,189
UC5ZqaJ9klJrwgsKjYW42JtA,원샷한솔OneshotHansol,1350000,1268634024,815
UCkcG0D2Y_pCg8NL0d4mjgBA,오늘크큭,42400,33209029,140
UCh9Hs6LCnksZbSs2SqSdfqg,철멍뭉,636000,406752081,408
UClbAxnNKc3Gv5EQ_JthkRVg,보설콩사뿌 [묘생동화],15800,22047800,238
UC9vhGW-jojAGUMz-wLJGhfQ,냥땅,47300,74877964,579
UCNZQH5gqyNf0gm8DkTRfkLA,동물타임,266000,470888571,560
UCVUmyQPMt-RJ1ufBoTj9dNQ,꽃개냥,93000,209947817,182
UCxRGLdDUodBiMSpOmtJy6IA,레드토픽,13000,38320730,179
UCsVfO5C0JAJ4dhVkpDkpbOA,dog-cute- animals,1610000,653756025,67
UCrkKaDi20-NRZVi65uIue3A,뉴건,13500,85025600,280
UCq4cFWNFpswWDy1k0b761SQ,아조아,121000,132387196,135
UCQ4WV9W1EGKdi8_n9Il_nxQ,떡한입,41400,33115887,136
UCryBzYxIiepEpecRkNFxJtA,상식에 미치다,74200,18263412,321
UCPMU3PoR_NRcCxu0X3Liiiw,야우냐?,410000,1328249694,1291
UC7M-XR1tMJC_9X5wlfJv_Jw,감동물,319000,812809136,494
UCljjJVPQam6IaerEz2Mr5NA,아이앤지식,124000,728821305,403
UCoSB5ln1nHUWO-GV0XI_Plw,전숏대,116000,113585120,172
UCJ5pGJy66H5cMJqatOm96pg,1분토커,43600,62126511,488
UCH4ydkR_Farj84SLeE4uRgg,감동꾸러미,157000,135925846,396
UCF1Rpn0RGyQ3sceOurMBqPA,Kitty Cats,224000,135573962,479
UCy_zPS1AbALUOqLvKEdnXzw,뭐보냐곰,146000,194192127,336
UCBkyj16n2snkRg1BAzpovXQ,우왁굳,1740000,2233403301,8220
UCS-uWd5JJWTDByy1OsLpEVA,포테이또,109000,143299812,433
UCotLo864MJbCfkzQaHquH7A,여행철학,40000,57967509,609
UCvXADObgwwtDCsnONOQebmg,후다닥,154000,105570907,169
UCYRvrl_DaSENSF5xQ_RlvXA,감동먹자,104000,51831598,268
UCwougW8eZ2hpyEn_c5oh6tA,꿀잼츄러스,23200,76036005,111
UCRTwx67LEjux_k1NzpxYpWQ,으냥냥,11700,18835833,99
UC5OnSWjlnY-FTmw62e1ByHg,Animals Lovers🫶,396000,186399090,654
UCSpABJM4eERzyY4nfOFt0Ew,유머꾼,12500,60618257,85
UC7bitSTkUiDO6b5CSZ-2lDA,Untold Stories,611000,282296969,384
UCV4dbNA-Wi-uAPHM5somg8A,우우걸 oohoohgirl,10800,8283704,48
UCt4PBS3VQaMiQVUIu2LvM6w,힐링농장,143000,239177885,344
UCJ5kSjbFvKzRjyoK156j-UQ,면류관,50600,123490946,261
UCIWIOJnn9wd3-K5yv5rJGKw,소몰이꾼,24900,72732996,77
UCabmTI9xy7V_G-rPocixuww,김판다,184000,473304604,101
UCUjUU-lu2F6NjMxm3Qxvm-Q,펀 팩토리,49300,184781837,246
UCl402YYy7RcH7PBI3npmGPQ,두치와뿌꾸,855000,2115184035,18266
UCv3CTPm72dPQH6yzyLn-pHg,나루월드,62400,45701290,190
UCUWdVHFdoyHCTDcQ4Gte_KQ,국뽕의민족,52400,51329450,80
UCnCaseYX9H5bPzCNuB_9qJw,피식킴,19500,50102698,152
UC2qjHK7wWxzb8mF9lgf7uXQ,NICKY니키,786000,435222876,897
UCvY890vUaIMJ68eOpqvmAAA,레전사커,80700,386120594,1264
UCDsjR0rrz38EKkbZ-cRbmxA,숏스커버리,197000,323240522,881
UCdIPB_KHGcX9Yif-uR6S0eA,스포쇼츠,23000,93821795,307
UCLvk7dfQZRLieDesCF232sg,시간 훅 가는 쇼츠,91200,495343487,330
UCYuXe8y4Hsz1-flloFBJt5Q,도블락 GK Doblock,189000,335831737,2171
UCWOJBPAhe2W0BqL2NO2EGnQ,핫뉴스,98500,164568445,718
UCLChexBTEyyWwTAkbPymNNg,진짜 잠깐만,293000,1178338087,1282
UComRG16hBlKYyOVtXk24TIQ,잇슈왕,46500,162063909,551
UCDyb7hB6TwGxP25o9hGCqwA,유머스낵,431000,888926068,881
UCpBpsIYfgEe2s-zazZ643xw,모르면개손해,299000,1244798624,1349
UCrF4HldLotehw991JTsqXhw,들었어?,181000,453767315,1058
UCR0CcFKPsu1sJxFfzeRn4gw,골프연구소,29300,27115963,121
UCWcRUyd0ViHhBiKggAApaCg,격투맨쉽,38800,110477311,388
UCrL6XKKPwKTCxbnQUaAHt0A,몬스타즈,30200,50707684,137
UC9opVvdYqxrwjYq1i1626SA,짧은근황,66900,51482393,94
UCASQisZAfo4_R53nbuK_n7A,쇼츠탐구영역,26600,62783164,259
UCSin3OGjCdsCcop7AsB6NXA,축구어때,111000,316474197,773
UCK7oCnJ5eQhuXrvL2ihrbdQ,핫이슈TV,350000,420683977,1660
UCeN2yQGeeJnOjJn0icZlX2Q,TV유단잔가,170000,203108014,388
UCx2K1jzcWJs66G1WZheLjmg,알쓸야구,31300,256328998,577
UCX3KEmJd6CXRNH6YVa9AoOQ,JASON MEDIA,525000,1830966244,1577
UCjfSLIdqrH7F9Q-pHGL8Y8g,썰팔이카사노,12800,49477175,101
UCJN09npM6f8THcvpiiqlubw,쇼츠빅리그,29300,70491661,82
UCq2vJ43ZiuL0Sd-scrw6Ezw,그의 인생은,14300,75307388,152
UCnXNukjRxXGD8aeZGRV-lYg,스포타임,890000,1729177220,15806
UCqAu9ziq7iUGZHmiqQqbgyg,라커룸이야기,12100,45305299,222
UCXR22tiec8MfTlUp4JXOzNg,SPORTYMEDIA,113000,312606812,578
UCw_-4vndea_ySgEIc7dTvdg,쇼츠펀,65400,156389808,799
UCy6X4RYTjGnrQQpwC6xQG9g,대박s쇼츠,148000,242295268,525
UCknx4XQhA-b97lPxVgNYBng,이슈붕,45500,138015326,219
UCGqxMPGA56vREDntiTsMSHA,숏충이,40300,78375030,403
UCuEpHb8hXkV-qXBp1uBC2pA,아이쇼스피드 백과사전,251000,564553943,398
UC5JiEeJKIVPwQl3xEA0nAyg,잇다,191000,522849113,1001
UCS56YF1dyARgFH1cajjqFXw,금바페,13100,61540933,378
UCClLLvoBJN2mpeSnx6-Danw,스포츠야미 SportsYummy,31200,71246778,218
UCvoc6OybPdeLzbX_Vn3_SxQ,참선생,92900,155192232,52
UCB3HOiLl9RSOosOOx82umuw,골때녀_골프공때리는녀석,11400,40906736,99
UC2l9YjSo16aT2DGX8XRIM_w,Funny Sports Studio,79500,161415434,408
UC270ueFEsQ21S26TYI_9yVA,야신야덕,292000,507856187,1527
UCrLPLhgox9bPoy2JIvUEB0g,싸커스토리 (후반전),29000,103212245,186
UCEb5K4qcbxbEag-6PQi2jHg,연순궁,79600,95912593,648
UCyoSQyaCrZHro6F_nBiXIYg,클리드,247000,85358458,283
UCHHRRcn1zdzcfFJWyz3_V3g,크쀠,41800,8055076,430
UCunQJrd9yphZEH0Etwjnabw,스맵,171000,49842175,496
UCUbOogiD-4PKDqaJfSOTC0g,테스터훈 TesterHoon,1410000,1734544401,4534
UC4P7F8qenDo1O_5NvgBb_cg,발스타홍구,434000,482621050,1395
UCRkC1NIdV0ttireYczHPLbQ,평학,146000,7034885,72
UCRlaFFgUHAcc_Oce_GgAQmg,모찌엘,236000,41765175,247
UCOTJtP0Z9DjpPU43B5m1V6A,[ALTUBE] 김성현TV,861000,1243595125,4582
UC1dG3vI9FfHnH3YgyeKUz_A,저라뎃 JUSTLIKETHAT,711000,893934168,3753
UCt15X5eHLwyP8PpNtQTkuDQ,Official dopa,754000,433237857,1472
UC1q4Ihlv_YhLELw-ijE0Diw,마플 마인크래프트 채널,745000,1745930326,3284
UCw1DsweY9b2AKGjV4kGJP1A,LCK,1490000,1967596395,10608
