channelID,channelTitle,subscriberCount,totalViews,videosCount
UCeyxZxlt6mN_1_LZd0m7XOw,이야기술사,76000,171644581,646
UCxwbkSqhPiWdH3KkWFXG1UQ,easymag,12800,44350575,201
UCF24NMvY6K0wUUaRR2jscQA,일분일초,369000,1274577606,1133
UCC38K-xXW3mAdm-EKNIWc4g,마드필름 Ma:de film,14900,26774389,98
UCQTqKcCkodd7tiRrAzlqo-A,폭스토리,78200,147060082,145
UC3dOqtgCdsS2tFKIUNsJDxw,드라마잼,15800,74573968,158
UC8pqfCpRwtOeVG3lfvlkb9w,1분예능모음zip,603000,2189703743,1897
UCIAgiD61TiS3TVLk7fBrehQ,너의 과거,61000,45497616,198
UCjuETo87rYkh1OYfq8mUeIA,크크랜드,11600,31069652,422
UCfn4ZZuQHGkNg8PZtNNRIIg,예능내컷,92000,343857876,494
UCQneAQzVX0H6XMc7ElhlFDQ,G명언,19500,70021637,125
UCBv5IeJ8VmtKZ_o3z5t9_HA,고구바,57900,74947961,420
UCAVFRIdu3yhXROEdeUOzVCw,멜로컷,27700,46165052,77
UCZPr7AOucG3JRPfmACqWbrw,연예 팬클립,19300,95103330,136
UCmlzLklGeKTkmy112ILwAwQ,뭐볼거없나,142000,716562861,396
UCBhoEq4U6LXjWd-yUz7zOPg,나의명언은,10800,17446589,155
UCBwwsye4U1YkrQyznncUkhA,씬무비,12900,51153252,90
UCKQNDrIaRCPAwFEoZQAt73g,예능보따리,318000,19148062,330
UCLvk7dfQZRLieDesCF232sg,시간 훅 가는 쇼츠,91300,495343487,331
UCejeuL7B6s8UpsNaYWWzeEQ,미남재형,688000,805230732,310
UCWwK-ls7Cr4g_ctG15seTeQ,그거참재밌었지,121000,4366255,43
UClVUrrc1TqZpEkFxJXlYQAw,용산,13100,14744751,46
UCQxgH6bT9P3bOVRwXgEHyjA,ยุทธ จ๋า ชาแนล,11700,4197205,133
UCPrErKfV-Y9BNYhli1b7ACw,코미디엑기스,11800,22139513,71
UCz58yrNG8TP1HIm1NlB5z6Q,ROTEIRO ABERTO,73000,19664655,505
UCwPdMoWKa03noYwjEQF_E5g,무비팍,50900,211746910,571
UCjBZKi-coSFgQGnr3gzyoHQ,클래스S,16300,44556334,248
UCJN09npM6f8THcvpiiqlubw,쇼츠빅리그,29500,70491661,83
UC3R4lXnRYJqSMMUFbU9PrkQ,숏팅스타 ,156000,1320626875,879
UCBgyZyzwlIuOE4E5NNTRNfw,스윗무비,45200,224577125,346
UCg4HN76xqWBPQCSzxPEj5-Q,탁히,10600,33569685,72
UCw_-4vndea_ySgEIc7dTvdg,쇼츠펀,65400,156389808,800
UCKNdfTZCJuOQfWN5Pe5UAAQ,빨강도깨비,895000,472613155,651
UCudU-KmGaP-4QFPtBpRuCIQ,킥킥쇼츠,31600,38325132,78
UCc0pppYjqAOVmfGXMIROppw,영철tv(yeongcheol),39000,14594264,105
UC6woCAHfQvaEcsVGydmG1tQ,짧을숏,218000,525499804,883
UCakQRoujZx77RGGbi_27g6A,90년대생,11700,31714680,88
UC_cYSffBupk_VwjPmmhLjCw,웃어요,34800,80846127,223
UC8BnU7nHUeQ3S1EGuSLl-qA,인간빌런,13100,8907894,30
UCtpDRkcbDWigQ3VhTCv0Xjw,플레이시네마 -1분 명장면,14800,38512488,176
UC_Aly3X5CdojHdRDGmKi1ow,엔스Ens,501000,308374006,557
UCMMx5jGFIQn8UNBg8sGvpmQ,드라마 핫쇼츠,282000,537094248,1731
