videoID,categoryID,channelID,title,viewCount,likeCount,commentCount,updateDate,duration,tags,thumbnailURL
nVTpGY06_fg,1,UCeyxZxlt6mN_1_LZd0m7XOw,머리가 뛰어나면 뭘해도 먹고 살지,5188050,71015,324,2025-03-14T00:30:39Z,60,"['영화리뷰', '볼만한거', '무비', '드라마', '슈츠', '넷플릭스', '미드', 'film', '법정드라마', '영화', 'Suits', 'movie', 'shorts']",https://i.ytimg.com/vi/nVTpGY06_fg/hqdefault.jpg
CvgNZbblB9E,1,UCxwbkSqhPiWdH3KkWFXG1UQ,중국 인터뷰 중 열받은 전지현,4974296,53950,771,2025-03-14T04:30:06Z,39,"['전지현', '전지현하정우호흡', '전지현하정우커플', '전지현하정우레전드', '전지현하정우찰떡', '전지현하정우대화', '전지현하정우투샷', '전지현하정우연기합', '전지현하정우매력', '전지현하정우연기', '전지현하정우인터뷰', '전지현하정우', '전지현하정우인터뷰컷', '전지현하정우현장', '전지현하정우케미폭발', '전지현하정우명장면', '전지현하정우비하인드', '전지현하정우영화', '전지현하정우케미', '전지현하정우아이컨택', '전지현하정우브로맨스', '전지현하정우드라마', '전지현하정우화보', '하정우']",https://i.ytimg.com/vi/CvgNZbblB9E/hqdefault.jpg
suMkcimMsD0,1,UCF24NMvY6K0wUUaRR2jscQA,초심자의 행운은 강력하다,4429833,92047,371,2025-03-13T07:00:42Z,55,['6'],https://i.ytimg.com/vi/suMkcimMsD0/hqdefault.jpg
4Lfb3ciwA3I,1,UCC38K-xXW3mAdm-EKNIWc4g,서열 정리하는 애순 #폭싹속았수다,2586285,50360,596,2025-03-15T04:30:02Z,78,"['폭삭 속았수다', '넷플릭스', '박해준', '폭싹속았수다', '폭싹 속았수다 2막', '박보검', '아이유', '폭싹 속았수다', '폭싹 속았수다 5회', '폭싹 속았수다 몰아보기', '문소리', '염혜란', '폭싹 속았수다 줄거리']",https://i.ytimg.com/vi/4Lfb3ciwA3I/hqdefault.jpg
t9oaC32l6ts,1,UCQTqKcCkodd7tiRrAzlqo-A,"세계관 최강 ""좀비 면역자"" 등장 ㅋㅋㅋ",2879254,134798,667,2025-03-14T15:05:34Z,47,"['해피니스드라마', '지우학', 'BLACKPINKJISOO', '블랙핑크지수', '넷플릭스영화', '결말포함몰아보기', '지금우리학교는2', '결말포함드라마', 'BLACKPINKJENNY', '킹덤드라마', '좀비드라마', '지수드라마', '넷플릭스드라마', '절비', '넷플릭스드라마추천', '드라마몰아보기', '해피니스', '제니드라마', '박정민짜증', '뉴토피아6화', '결말포함', '아포칼립스영화', '아포칼립스드라마', '좀비아포칼립스', '넷플릭스영화추천', '뉴토피아결말포함', '뉴토피아지수', '제니연기', '뉴토피아결말', '뉴토피아애런팍', '넷플릭스', '폭스토리', '지금우리학교는', '좀비면역', '박정민연기', '뉴토피아', '좀비영화', '킹덤몰아보기', '지금우리학교는몰아보기', '드라마리뷰', '뉴토피아박정민', '결말포함영화', '뉴토피아몰아보기', '지수연기', '해피니스몰아보기', '드라마추천', '결말포함드라마리뷰', 'BLACKPINK지수', 'BLACKPINK', '블랙핑크제니', '결말포함영화리뷰', '뉴토피아지하철']",https://i.ytimg.com/vi/t9oaC32l6ts/hqdefault.jpg
ZeMW6e0vi0Y,1,UC3dOqtgCdsS2tFKIUNsJDxw,막내아들을 떠나보낸 관식이와 애순이 #폭싹속았수다 #박보검 #아이유,2602243,59366,487,2025-03-15T06:00:16Z,57,"['넷플릭스', '드라마', '폭싹속았수다', '박보검', '아이유', '문소리']",https://i.ytimg.com/vi/ZeMW6e0vi0Y/hqdefault.jpg
BIk7aIeKxAM,1,UC8pqfCpRwtOeVG3lfvlkb9w,축가 불러줬는데 입금 안 한 이수근ㅋㅋㅋ #shorts #아는형님,2642693,42447,501,2025-03-14T12:09:00Z,51,"['이수근', '강호동', '김희철', '서장훈', 'shorts', '민경훈', '아는형님']",https://i.ytimg.com/vi/BIk7aIeKxAM/hqdefault.jpg
Wu-0vNoTdfQ,1,UCIAgiD61TiS3TVLk7fBrehQ,가세연이 공개한 김수현이 김새론 집 가서 찍었던 동영상,2045822,0,3623,2025-03-18T11:25:33Z,51,"['kimsoohyun', '김새론', 'キムセロン', '김새론 집', '김수현김새론', '김수현', 'キムスヒョン', '金秀贤', '김수현 김새론 영상']",https://i.ytimg.com/vi/Wu-0vNoTdfQ/hqdefault.jpg
yScjSSkGwgk,1,UCjuETo87rYkh1OYfq8mUeIA,코로나로 격리할 때 이민정에게 실망한 이병헌 #이병헌 #유재석 #양세찬 #이민정,2355468,36931,702,2025-03-15T04:34:22Z,41,[],https://i.ytimg.com/vi/yScjSSkGwgk/hqdefault.jpg
6-SAkG0NkDI,1,UCfn4ZZuQHGkNg8PZtNNRIIg,키 작은 의사한테 키는 유전이냐고 묻는다면? #shorts #아는형님,1646619,22372,1258,2025-03-17T03:11:00Z,32,"['이상민', '강호동', '이수근', '김희철', '서장훈', 'shorts', '김영철', '민경훈', '아는형님']",https://i.ytimg.com/vi/6-SAkG0NkDI/hqdefault.jpg
G1iszjrZ9LY,1,UCQneAQzVX0H6XMc7ElhlFDQ,깨어나보니 20년뒤라면 어떤 기분이었을까요?,1998827,60985,405,2025-03-15T12:00:21Z,60,"['드라마', '코미디', '영화']",https://i.ytimg.com/vi/G1iszjrZ9LY/hqdefault.jpg
JWuEnf7mM68,1,UCBv5IeJ8VmtKZ_o3z5t9_HA,밑 빠진 독 아니고 속 채워지는 독 #폭싹속았수다,1973528,52115,691,2025-03-14T17:09:34Z,60,"['PARKBOGUM', '폭싹속았수다', 'whenlifegivesyoutangerines', '박보검', '아이유', 'IU']",https://i.ytimg.com/vi/JWuEnf7mM68/hqdefault.jpg
B4hYSFNKqAM,1,UCAVFRIdu3yhXROEdeUOzVCw,(오열주의) 딸 두고 떠날 수 없는 엄마 #폭싹속았수다,2208976,67307,790,2025-03-14T11:35:00Z,60,"['kdrama', '드라마', '폭싹속았수다', '애순이', '먹방', '박보검', 'park bogum', 'iu', 'idol', 'Park Bo Gum', 'lee ji eun', '아이유', '폭싹 속았수다', '문소리', '폭싹', '폭싹 속앗수다', '아이유 박보검', 'korea drama', '넷플릭스', '이지은', '애순', '관식 애순', 'When Life Gives You Tangerines', '관식애순', 'asmr', '애순관식']",https://i.ytimg.com/vi/B4hYSFNKqAM/hqdefault.jpg
6RxHedqaQdw,1,UCZPr7AOucG3JRPfmACqWbrw,배우 원빈을 그쪽으로 오해한 김성오,3501002,55983,1450,2025-03-12T04:00:09Z,59,"['김성오', '라디오스타']",https://i.ytimg.com/vi/6RxHedqaQdw/hqdefault.jpg
kJ97mgCxauc,1,UCmlzLklGeKTkmy112ILwAwQ,위장 여사친과 진짜 여사친 차이,2541190,50826,206,2025-03-13T10:30:30Z,60,"['스케치코미디', '유머', '재밌는동영상', '웃긴영상', '예상치못한필름']",https://i.ytimg.com/vi/kJ97mgCxauc/hqdefault.jpg
4ATla19BV-o,1,UCBhoEq4U6LXjWd-yUz7zOPg,이뤄지지 못한 김새론의 바램,1784186,19474,561,2025-03-15T01:30:04Z,34,[],https://i.ytimg.com/vi/4ATla19BV-o/hqdefault.jpg
W9qzvUxrhi8,1,UCBwwsye4U1YkrQyznncUkhA,제주 바다에 복덩이가 태어났다 #폭싹속았수다,2026700,54311,241,2025-03-14T11:00:46Z,51,"['드라마명장면', '드라마', '폭싹속았수다', '박보검', '아이유', '드라마다시보기']",https://i.ytimg.com/vi/W9qzvUxrhi8/hqdefault.jpg
-KV-yTK0GXA,1,UCKQNDrIaRCPAwFEoZQAt73g,영화관에서 커플 사이에 끼게 된다면?ㅋㅋ,1497372,0,101,2025-03-14T09:17:00Z,17,[],https://i.ytimg.com/vi/-KV-yTK0GXA/hqdefault.jpg
s0405LQt_Os,1,UCLvk7dfQZRLieDesCF232sg,뭐가 죄송해요 나랏일 하시는데 ㅎ,1954803,35089,91,2025-03-14T06:00:29Z,60,"['재밌는영상', '스케치코미디', '유머', '개그', '코미디', '공감', '예능']",https://i.ytimg.com/vi/s0405LQt_Os/hqdefault.jpg
WGLUqeWU3zo,1,UCejeuL7B6s8UpsNaYWWzeEQ,유부남과 캡틴 아메리카,7454408,206352,3604,2025-03-08T03:00:21Z,93,"['스케치코미디', 'meme', '드라마', '미남재형', 'mufasa', 'food', '영화', 'lifestyle', 'shorts']",https://i.ytimg.com/vi/WGLUqeWU3zo/hqdefault.jpg
gvd96gxpzhA,1,UCWwK-ls7Cr4g_ctG15seTeQ,피할 수 없으니 그냥 즐기는 자들 #뉴토피아,2503133,63365,235,2025-03-12T23:00:41Z,59,"['우원박', '블랙핑크', 'K-drama', '지수', 'kdrama', '한국드라마', '드라마', '블랙핑크지수', '박정민', '쇼츠', '뉴토피아', '블핑지수', '쿠플', 'Shorts', '쿠팡플레이', '옛날드라마']",https://i.ytimg.com/vi/gvd96gxpzhA/hqdefault.jpg
_pTeDMnnQIQ,1,UClVUrrc1TqZpEkFxJXlYQAw,"만약 김새론이 목숨을 걸지 않았다면, 김수현은 머지않아 배용준의 뒤를 이을 뻔했다!",1342189,8985,305,2025-03-16T09:01:52Z,60,[],https://i.ytimg.com/vi/_pTeDMnnQIQ/hqdefault.jpg
duUQnQ9c910,1,UCQxgH6bT9P3bOVRwXgEHyjA,ห๊ะ #funny #comedy #fun,944189,3898,5,2025-03-14T03:09:40Z,10,[],https://i.ytimg.com/vi/duUQnQ9c910/hqdefault.jpg
AzUGZSh32PI,1,UCPrErKfV-Y9BNYhli1b7ACw,대학가기 싫어지는 동네아저씨 조언,1148710,10911,399,2025-03-16T08:45:01Z,59,[],https://i.ytimg.com/vi/AzUGZSh32PI/hqdefault.jpg
wKFf7p0M4Ro,1,UCz58yrNG8TP1HIm1NlB5z6Q,foxter e Max #cenas #filmes,17215952,308431,0,2025-03-11T02:29:48Z,60,[],https://i.ytimg.com/vi/wKFf7p0M4Ro/hqdefault.jpg
anhkdVReB74,1,UCwPdMoWKa03noYwjEQF_E5g,일본군 비밀작전을 제압한 반격전술 #영화,966205,9603,44,2025-03-16T00:45:00Z,46,[],https://i.ytimg.com/vi/anhkdVReB74/hqdefault.jpg
G4HcCluqQDc,1,UCjBZKi-coSFgQGnr3gzyoHQ,여러 용도로 쓰이는 일진들의 아지트,2828828,69464,386,2025-03-12T10:30:11Z,50,"['드라마', '넷플릭스', '황영희', '이재균', '강민아', '이유미', '범죄', '피카레스크', '김지성', '김가희', '김도완', '일진', '독립영화', '하윤경']",https://i.ytimg.com/vi/G4HcCluqQDc/hqdefault.jpg
yU1mD9tVtwc,1,UCJN09npM6f8THcvpiiqlubw,귀에서 피나는 양세찬 텐션 모음 ㅋㅋ,1070388,7204,72,2025-03-16T08:45:04Z,54,[],https://i.ytimg.com/vi/yU1mD9tVtwc/hqdefault.jpg
XuOb-z59ugE,1,UC3R4lXnRYJqSMMUFbU9PrkQ,피터가 완전히 잃었던 스파이더맨 능력을 되찾게된 이유 #마블 #스파이더맨,2040052,35735,309,2025-03-13T07:00:30Z,59,"['아이언맨', '마블', '어벤져스', '쇼츠', 'shorts', '스파이더맨']",https://i.ytimg.com/vi/XuOb-z59ugE/hqdefault.jpg
EJyw1nFbex8,1,UCBgyZyzwlIuOE4E5NNTRNfw,대기업 개농장의 실체를 알아버린 한선화 #술꾼도시여자들,1185627,19254,296,2025-03-15T03:01:08Z,60,"['kdrama', '이선빈', '드라마', '정은지', 'tvn', '시원', '한선화', '김정민', 'shorts', '명장면']",https://i.ytimg.com/vi/EJyw1nFbex8/hqdefault.jpg
Xss3m5d9LGA,1,UCg4HN76xqWBPQCSzxPEj5-Q,원빈이 인터뷰를 피하는 이유,1239585,30065,1514,2025-03-16T08:40:50Z,35,"['쇼츠', '원빈', '인터뷰']",https://i.ytimg.com/vi/Xss3m5d9LGA/hqdefault.jpg
ywh0mHYhMfU,1,UCw_-4vndea_ySgEIc7dTvdg,역대급 케미의 다비치 개그듀오 #유재석 #유연석 #강민경,1772212,25050,256,2025-03-13T01:38:00Z,12,[],https://i.ytimg.com/vi/ywh0mHYhMfU/hqdefault.jpg
8RCFlqZ-5As,1,UCKNdfTZCJuOQfWN5Pe5UAAQ,타노스가 더 간지나는 이유,1757210,23975,331,2025-03-14T08:06:52Z,60,[],https://i.ytimg.com/vi/8RCFlqZ-5As/hqdefault.jpg
s9GaxyUFpsg,1,UCudU-KmGaP-4QFPtBpRuCIQ,해병대 고인물이 나타났다ㅋㅋㅋ #코미디빅리그,4363815,136884,461,2025-03-09T02:00:42Z,55,"['코미디 빅리그', '코빅 이정수', '코빅 최성민', '최성민', '박경호', '코미디빅리그', '코빅 레전드', '특전사', '코빅 다시보기', '무적해병', '쇼츠', '이정수', '코빅 박경호', 'tvN', '나의장사일지', '해병대', 'shorts', '코빅 나의장사일지']",https://i.ytimg.com/vi/s9GaxyUFpsg/hqdefault.jpg
zOhkxGSZB0E,1,UCc0pppYjqAOVmfGXMIROppw,비실이 배삼용.구봉서.송해#Shorts,687280,19939,129,2025-03-16T08:01:01Z,60,"['kbs', '유머', '구봉서', '그리운', '배삼용', '코미디', '추억', '송해', '7080']",https://i.ytimg.com/vi/zOhkxGSZB0E/hqdefault.jpg
q0GBbzqugPc,1,UC6woCAHfQvaEcsVGydmG1tQ,로또로 계산할게요,1395506,42919,658,2025-03-14T14:14:12Z,59,['like'],https://i.ytimg.com/vi/q0GBbzqugPc/hqdefault.jpg
fKqI6kcmYJU,1,UCakQRoujZx77RGGbi_27g6A,검정고무신 기영이 머리의 비밀,1607887,33880,202,2025-03-13T09:42:15Z,26,[],https://i.ytimg.com/vi/fKqI6kcmYJU/hqdefault.jpg
n_F25Tm-thI,1,UC_cYSffBupk_VwjPmmhLjCw,한강에서 장사로 살아남는 법,1071731,25786,173,2025-03-15T09:00:55Z,60,[],https://i.ytimg.com/vi/n_F25Tm-thI/hqdefault.jpg
-Lw2Boa_jpo,1,UC8BnU7nHUeQ3S1EGuSLl-qA,다른 어른과 달랐던 원빈,932218,21642,586,2025-03-16T07:36:05Z,48,"['빌런', '김새론', '원빈', '이슈']",https://i.ytimg.com/vi/-Lw2Boa_jpo/hqdefault.jpg
ZSvfIx1JCjk,1,UCtpDRkcbDWigQ3VhTCv0Xjw,금명이한테 충격받은 아빠,953945,19900,137,2025-03-16T01:00:34Z,43,['폭싹속았수다'],https://i.ytimg.com/vi/ZSvfIx1JCjk/hqdefault.jpg
_QEBkaM7RDQ,1,UC_Aly3X5CdojHdRDGmKi1ow,오징어게임 2의 CG를 벗겨보자 벌어진 일,1328735,33048,92,2025-03-14T09:00:47Z,41,[],https://i.ytimg.com/vi/_QEBkaM7RDQ/hqdefault.jpg
TPhKOJN-TIM,1,UCMMx5jGFIQn8UNBg8sGvpmQ,이진들에게는 아무도 대답하지 않는 이유,2450302,46687,122,2025-03-11T09:30:11Z,58,"['드립', '스케치코미디', '개그', '웃긴영상', '숏박스', '코미디', '예능', '쇼츠', '숏무비', 'shorts', '숏폼']",https://i.ytimg.com/vi/TPhKOJN-TIM/hqdefault.jpg
8LES_OnhL9c,1,UCvtEf7lPZc2ApkWED0m_MsA,장난꾸러기 바트가 리사한테는 최고의 오빠인 이유,1082835,34088,146,2025-03-15T02:05:00Z,60,"['simpsons', '애니추천', '매기', '바트', '심슨예언', 'shorts', '리사', 'thesimpsons', '심슨가족', '호머', '심슨', '마지']",https://i.ytimg.com/vi/8LES_OnhL9c/hqdefault.jpg
1iB_v3hH818,1,UCc73UrF2glN2L4ycZJWCLkg,선수 차별하는 빛나리 심판ㅋㅋ,1267530,14774,23,2025-03-13T12:46:42Z,36,[],https://i.ytimg.com/vi/1iB_v3hH818/hqdefault.jpg
Aa9-LCmsQXg,1,UCY_QscYFA1H-6bgQe4ug51Q,친정이 있다면 이런 기분이겠지#폭싹속았수다,1234049,22399,129,2025-03-14T03:00:10Z,58,"['kdrama', '드라마', '넷플릭스', '엄지원', '이지은', 'whenlifegivesyoutangerines', '아이유', 'leejieun', 'netflix', 'IU']",https://i.ytimg.com/vi/Aa9-LCmsQXg/hqdefault.jpg
Eu1TUd6tHSs,1,UC_mweXsc6I3PC7ckCSMe3Xw,한 끼 주고 100인분 받기 #짱구는못말려 #shorts,813822,27527,192,2025-03-15T09:01:14Z,35,"['애니추천', '쇼츠', '짱구모음', '짱구', '일본애니', '웃긴영상', '짱구클립', '짧은영상', '짱구팬', '짱구명장면', '짱구애니메이션', '애니메이션', '짱구유머', '짱구러버', '짱구는못말려', '짱구쇼츠', '짱구짤', '유튜브쇼츠', '짱구애니팬', '짱구커뮤니티', '재미있는영상']",https://i.ytimg.com/vi/Eu1TUd6tHSs/hqdefault.jpg
JxhBt5lALck,1,UCMKTwQgl4_MaKh7t03Y-Y-g,이슬이누나 찐사 #짱구,896710,25649,9,2025-03-15T01:00:15Z,42,[],https://i.ytimg.com/vi/JxhBt5lALck/hqdefault.jpg
YWi1onmBZ5s,1,UCnsRFSp9BfN3lcEaKk2CLpA,아들 잘 둔 덕분에 시업 따내는 신형만 #짱구는못말려,8239145,290845,590,2025-03-05T08:30:12Z,60,"['흰둥이', '짱구는 못말려', '짱구 레전드', '짱구는못말려', '티빙', '명작 애니', '애니', '애니리뷰', '애니메이션', '짱구 다시보기', '짱구는 못말려 극장판', '짱구']",https://i.ytimg.com/vi/YWi1onmBZ5s/hqdefault.jpg
pujyVYOnquM,1,UCbYNi5gs7R3MjXpPAw8lpcg,영화 역사에 한 획을 그은 어느 디자이너의 ‘실수’ ㄷㄷ,1170007,31067,374,2025-03-14T13:17:12Z,43,[],https://i.ytimg.com/vi/pujyVYOnquM/hqdefault.jpg
7Z5QFsoVX-4,1,UC-NwDAlauvNzRnC3mk7CkPw,간짜장 먹으러 왔다는 말이 이렇게 감동적이고 설렐줄이야ㅋ #슬기로운의사생활 #shorts,986913,13644,83,2025-03-14T23:00:07Z,60,"['신현빈', '사이다', '김준완', '장겨울', '유연석', '조정석', '슬의생', '이익준', '쇼츠', '김대명', '안정원', '채송화', '안은진', '추민하', '정경호', '전미도', '양석형']",https://i.ytimg.com/vi/7Z5QFsoVX-4/hqdefault.jpg
NPu8KX0EhQQ,2,UCvJnb0ty7RpquJKouRBeEzQ,"물에 빠진 사람만 알고 있는, 수입차의 숨은 기능",1278470,14953,981,2025-03-17T11:30:13Z,27,[],https://i.ytimg.com/vi/NPu8KX0EhQQ/hqdefault.jpg
dFKTGERgrH8,2,UCX3KEmJd6CXRNH6YVa9AoOQ,일반인들은 모르는 롤스로이스의 특이한 기능,1916134,28328,280,2025-03-15T08:48:45Z,27,[],https://i.ytimg.com/vi/dFKTGERgrH8/hqdefault.jpg
-bgeH5MVe8g,2,UCPMU3PoR_NRcCxu0X3Liiiw,슈퍼카를 30초 만에 사버리는 두바이 석유 부자,5267520,76061,1795,2025-03-08T08:00:22Z,33,[],https://i.ytimg.com/vi/-bgeH5MVe8g/hqdefault.jpg
NqCPOhxrZYw,2,UCcWXeluvExN8-eo_5KFfyjw,다 틀렸습니다!! 1차로 정속주행 이렇게 단속합니다! #shorts #고속도로 #정속주행 #운전 #교통 #과태료 #범칙금 #버미쌤,1979420,20513,1746,2025-03-12T02:00:12Z,92,"['교통', '1차로 정속주행', '고속도로', '범칙금', '운전', '버미쌤', '정속주행', '과태료', '1차로']",https://i.ytimg.com/vi/NqCPOhxrZYw/hqdefault.jpg
ESNefHFDedA,2,UC3-9Ul8LOKJzQMdo1nFb_sQ,의도와는 다르게 '이미지' 나락 간 자동차.. ㄷㄷㄷ,678769,9309,1236,2025-03-16T09:30:05Z,19,[],https://i.ytimg.com/vi/ESNefHFDedA/hqdefault.jpg
BNfBxomTCig,2,UCXmYEJeTYVRXtLLUaoY01IA,세차 시간 단축하는 법,2734906,34537,417,2025-03-10T00:59:16Z,12,[],https://i.ytimg.com/vi/BNfBxomTCig/hqdefault.jpg
3Khmeqy7h7o,2,UCJ5kSjbFvKzRjyoK156j-UQ,“나와봐!” 타이어 주름을 맞추는 천재적인 방법,1269570,12388,85,2025-03-12T08:59:45Z,18,[],https://i.ytimg.com/vi/3Khmeqy7h7o/hqdefault.jpg
EecgJO7Mqak,2,UC3khiHr1souRBk8uXV2UVDQ,Hummer가 가파른 언덕에서 Cybertruck을 무시하다,528928,2583,154,2025-03-16T11:00:30Z,23,[],https://i.ytimg.com/vi/EecgJO7Mqak/hqdefault.jpg
fhICVoOZex8,2,UCRcFdEQDfe5d-wutz3yJPEQ,BMW를 타는 눈나들,1786536,23354,430,2025-03-11T07:00:29Z,44,[],https://i.ytimg.com/vi/fhICVoOZex8/hqdefault.jpg
vfnqBiNG2A4,2,UCH5U89kvHrVxxS80xpoOydw,#2629. 방어운전이 불가능한 사고도 있다?! If defensive driving is impossible!#shorts,719112,11419,2908,2025-03-13T23:30:15Z,15,"['교통사고영상', 'caraccident', '교통사고', 'trafficaccident', 'dashcam', '교차로', '블박영상', '사고', 'traffic', 'car', 'blackbox', 'accident', '한문철', '블랙박스', '한문철TV']",https://i.ytimg.com/vi/vfnqBiNG2A4/hqdefault.jpg
