channelID,channelTitle,subscriberCount,totalViews,videosCount
UCydkm3xXUbFzpHGoeGmJiNA,티스테이션 TV,10300,75993539,241
UCrOl7IuctoHW0iW-Gozj4EQ,비피디 BPD,365000,386282605,1212
UCx1OIJyENR699uuRFTzW8Kw,카팁,242000,45168549,41
UCVInBv7xkpjv5oPok-Xl3iA,BMW 공식 딜러 한독 모터스,613000,21302063,183
UCoVxAzKfooSnQ-ESwFOzAlw,안녕첫차,368000,136908413,750
UCMTZqwCdw9Nynw9BkCgfeRQ,모트라인 MOTline,715000,651288160,2099
UCChdwfg0T9qJd_vdGFMTiBg,차업차득,696000,239792292,594
UCOY3LbxXxCd8SykBvcVJlzg,차도남 닥터준,266000,259559796,1157
UC28KIazhcYzHC4JvHRfMZjg,중고차부싼카,337000,277093140,894
UCoqiH2Ce3qc8wr_t2GvIWvw,샤인프릭_ShineFreak,202000,43055568,117
UCKR3cXHN4kCRbD9Eaa-ROpQ,Turbo832 TV,263000,115084446,1195
UC-QNLjGvjEdwqtl3VtcuqgQ,신차정보 연못구름,194000,169985449,2491
UCFL1sCAksD6_7JIZwwHcwjQ,JTBC Entertainment,8120000,13325470100,90507
UCgaXaBNLBbKcCkcmYuRhqCg,금호타이어,260000,113441997,666
UCM9BpIEKSAFlWwsGNJ2nDFQ,쎄게형TV,252000,82185853,287
UCCbLQtdzoIJB-Ah6_oWFsoA,남자들의 자동차 - 남차카페,280000,310177531,2678
UCsp4aZqInutP9t0DBKQNdIA,지산카센터 ,262000,66142522,761
UCd5CdYxogKBwvv1xyuxhvZA,김한용의 MOCAR,1230000,850502139,2922
UCfcgDLazgMa1L92Kl3r9ZAA,오토뷰(AutoView) - 자동차 & 타이어 구입 참고서,376000,163273558,877
UCFUpTxU3nlGed-suY-FjjxA,우파푸른하늘Woopa TV,1140000,836764522,2639
UCfM8fjn4GrEIXvdG4v7BpQw,삶의 교훈 2,501,10350,11
UC6QJowhz8WHwkKr1KeN7FWg,신사용,240000,279156912,1234
UC8dHEtYqXI2AVDK4UW8qabQ,Time Leverage_타임레버리지,90100,17085042,2501
UCrB2gactntZvJyKkO9UOFbw,란딴뚠중고차,107000,204347036,616
UCZsbIiUVhDhHXFSjI6q-sDQ,장용석의내차를부탁해,265000,157093935,981
UCknfGXdai7ZaDhs3Frhtb6A,재뻘TV,247000,188355342,925
UC2bIYeGlydYyiaRMpuvx95w,HeyMan,226000,111553157,635
UCH5U89kvHrVxxS80xpoOydw,한문철 TV,1780000,2758182139,27745
UChJSgqoLLc-ecaGy_K69z_A,중고차 빡차,377000,149706290,1001
UCPbxBhcZMq8NMq0EuXxGuAQ,중고차파괴자,617000,365136916,452
UCT29dZNPg6exiMyMrVLL0fg,mediaAUTO 미디어오토,393000,227686695,1685
UCPoiGCQyNhkuwNaa6M3GP_A,가보까 Gabokka ,268000,101890069,671
UC_miMkmUUFZpniRbhPkKUEg,캐나다트럭커 군복남자,91100,42240374,804
UCLHzfbJk4ZxoVo5AFZTSLSQ,원태의 전동세상,32000,21943671,812
UC9Amgn24YSvlyzKWynKZh-w,노보스인더스트리 NOBOSSINDUSTRY,413000,244042497,2157
UCu1zVEpCdQ0_aW0GoJxeb8w,카비니 CarBini,231000,127806081,527
UCfuyo3_p2H-DOzH4w6F1e3Q,차나두,137000,42606825,462
UCeDAbMzbVTVoI9BuGd_PyDg,러브마이카 by 불스원,111000,94550925,672
UCvJnb0ty7RpquJKouRBeEzQ,픽플러스,738000,903715376,1120
UC_gaUd0RTRlwyuAf-Tj9gPQ,카진성,271000,182143064,831
UCLLOJHEBL_roK1XK7GGZLwg,[에스모티브]YouTube공식채널 - 채작가의 차리뷰,201000,155587596,2981
UCv-Aa6CTYGxSaHfl6YjED_Q,중고차의모든것,195000,107614745,410
UC5b2_GAScxz4guty7rv4Ulg,차봤서영,112000,41137662,564
UC9hPTA58ni0U0LxpXZgDPCw,원더굿라이프,70000,20672606,1059
UCNp5ek9ZoWjcxwoAGu7t4TA,인사이드 플랫 : FLAT,30000,4737816,90
UC6lYdrYnNC1hD4T089AGTKg,노라준카,42800,56177686,333
UCgI1SufgE1UNDZK3iSsXbBw,도참시 블랙박스[ 도로위 참견시점],227000,26918839,437
