videoID,categoryID,channelID,title,viewCount,likeCount,commentCount,uploadDate,duration,tags,thumbnailURL
E-9lSLpgA28,1,UCZZLitetDJATgDM85c19CWA,와.. 올해 본 영화 중 진심 최고네요.. 압도적인 수작으로 인정합니다!,449797,4461,155,2025-03-07T07:30:52Z,2666,"['movie', 'entertainment', 'tv shows', '영화', '영화리뷰', '시네마', '개봉작', '예고편', '영화소개', '다시보기', '스릴러', '공포', '넷플릭스', '드라마', '드라마리뷰']",https://i.ytimg.com/vi/E-9lSLpgA28/hqdefault.jpg
E4pjQzmXJNY,1,UCRuSxVu4iqTK5kCh90ntAgA,"1박여행 갈 때, 연애 초반커플 vs 장기커플",1514934,22715,552,2025-03-08T09:00:24Z,285,"['장기커플', '초반커플', '한달차커플', '5년차커플', '썸', '편한연애', '커플', '연애', '공감']",https://i.ytimg.com/vi/E4pjQzmXJNY/hqdefault.jpg
lr63qSJzgOw,1,UCcfz-8gGDYJfaRHYD7kkQpw,손씻고 조용히 살고 있는🩸전설의 싸움일짱🩸을 잘못건드리면 벌어지는 일 ㄷㄷ,1033206,4177,73,2025-02-28T08:59:56Z,3008,[],https://i.ytimg.com/vi/lr63qSJzgOw/hqdefault.jpg
lPuJ1KDfaAA,1,UCRuSxVu4iqTK5kCh90ntAgA,남미새 특,1444142,22658,726,2025-03-12T09:00:58Z,295,"['총몇명', '남미새', '꼬시기', '연애', '공감', '커플', 'ㅋㅋㅋ', '재밌는만화']",https://i.ytimg.com/vi/lPuJ1KDfaAA/hqdefault.jpg
K4GjnytH4p4,1,UCfDJ6zy3AZ1afT9FV0mwMOA,이거 극장 개봉했어도 돈 내고 봤다... 2025년 현재 OTT 전세계 1위 찍고 있는 최신 영화!,1600229,11451,645,2025-03-13T09:00:06Z,1181,"['영화유튜브', '영화채널', '영화추천', '영화소개', '영화리뷰', '드라마추천', '드라마소개', '드라마리뷰', '결말포함', '결말포함영화', '영화리뷰결말포함', '결말포함영화리뷰', '결말포함드라마', '드라마리뷰결말포함', '결말포함드라마리뷰', '결말포함몰아보기', '영화몰아보기', '드라마몰아보기', '영화끝까지몰아보기', '드라마끝까지몰아보기', '드라마한방에몰아보기', '넷플릭스영화', '넷플릭스드라마', '넷플릭스드라마추천', '넷플릭스드라마리뷰', '넷플릭스전세계1위', '지무비', '고몽', '김시선', '어퍼컷', '더캐니언결말포함', '더캐니언영화결말', '안야테일러조이']",https://i.ytimg.com/vi/K4GjnytH4p4/hqdefault.jpg
sbVMFiyRQkA,1,UCnabt_BunUVVk1PcSd8CO9Q,깊은 여운으로 오래오래 기억될 쓸쓸하지만 아름다운 영화 [영화리뷰/결말포함],328023,5435,143,2025-03-04T10:59:16Z,1872,[],https://i.ytimg.com/vi/sbVMFiyRQkA/hqdefault.jpg
2I2D_jQhxT4,1,UCkxf2G9198TzLbLuo-y6-EQ,🔥포항 건달🔥 의리+배신+사랑 3박자 역대급 건달 이야기 구룡포편 몰아보기♤[재업]  화질업 내용추가♤,1116405,5004,176,2025-03-10T07:00:02Z,3105,['드라마 몰아보기#드라마 결말 보기#드라마 리뷰#k드라마#한국드라마#드라마리뷰#드라마전편보기#몰아보기#결말보기#무빙#구룡포#kdrama'],https://i.ytimg.com/vi/2I2D_jQhxT4/hqdefault.jpg
9CPDA2D7znY,1,UClN3o2FG4sMSL5kPhsk1MOg,(사이다툰) 나한테 뽀뽀하자고 한 친언니 남친 역대급 참교육 ㅋㅋㅋ  /영상툰/썰툰/,452389,6775,1291,2025-03-11T09:33:42Z,498,"['영상툰', '사이다툰', '썰툰', '사이다썰', '사연툰', '사연', '썰그', '썰푸는그림쟁이']",https://i.ytimg.com/vi/9CPDA2D7znY/hqdefault.jpg
auwORGQDJ_g,1,UCuK80YHBZyyKrr2B1oHrgrw,"""3분"",,, 3분만 보시면 살벌하게 몰입됩니다",339711,3939,219,2025-03-07T10:00:03Z,2124,[],https://i.ytimg.com/vi/auwORGQDJ_g/hqdefault.jpg
Uhn1hMmg054,1,UCh8EdN15Ef_8k-H3AAj9-ww,"[2025 최신작] ""전쟁과 배신이 난무하는 성경판 왕좌의 게임, 다윗의 왕국 리뷰""",400671,3031,185,2025-03-09T12:00:40Z,1663,"[""영화리뷰'"", '결말포함']",https://i.ytimg.com/vi/Uhn1hMmg054/hqdefault.jpg
A5fAU6v9ABo,1,UCKBzr20577Xcn0LJoRVES_A,와.. 피터의 '찐여친'이 온다.. ≪스파이더맨4≫ 메리 제인 캐스팅 루머 총정리,269964,3929,524,2025-03-18T07:11:46Z,553,"['영화리뷰', '영화추천', '무비띵크', '마블', '마블영화', '마블유튜브', '마블유튜버', '마블띵크', '디즈니플러스', 'MCU', '떴냐', '루머띵크', '디즈니 마블', '마블 디즈니', '스파이더맨4', '스파이더맨4 루머', '스파이더맨4 메리제인', '스파이더맨', '필콜슨', '마블 필콜슨 복귀', '어벤져스 둠스데이', '어벤져스 시크릿워즈']",https://i.ytimg.com/vi/A5fAU6v9ABo/hqdefault.jpg
U6gzs-KOZF4,1,UCx7cyQu2459UxtR1fwm83BA,백치미 1티어! 예쁜 얼굴과 대체 불가 매력을 가진 배우 황우슬혜,352591,2146,204,2025-03-07T13:19:52Z,1093,[],https://i.ytimg.com/vi/U6gzs-KOZF4/hqdefault.jpg
Z1VqF291rg4,1,UCTyPD6OKjNasbJY1UVsjPRQ,이세계에서 통신 판매 스킬로 갑부가 된 남자가 야스 라이프에 눈을 떠버렸다,142147,1887,224,2025-03-18T05:00:24Z,1622,"['애니', '성인애니', '리뷰', '추천', '일본', '신작애니', '명작', '넷플릭스', '이세계', '먼치킨', '하렘', '애니좌']",https://i.ytimg.com/vi/Z1VqF291rg4/hqdefault.jpg
xzqDWsSKyl4,1,UCxn_EHVOJnrEJBZY2p3E6Sg,🔥조회수만 1.3억뷰!!🔥무빙+조명가게로 시청자수 1위 달성했던 강풀 작가의 또 다른 원작 드라마《마녀》1-6회 몰아보기!!,1624282,11856,630,2025-03-07T09:35:21Z,5984,"['영화', '영화리뷰', '애니메이션', '공포', '액션', '코미디', '로맨스', '로맨틱코미디', '스릴러', '드라마', 'horror', 'action', 'comedy', 'romance', 'romantic comedy', 'thriller', 'drama', 'Netflix', '넷플릭스', '리뷰']",https://i.ytimg.com/vi/xzqDWsSKyl4/hqdefault.jpg
goW230PTTE0,1,UCRuSxVu4iqTK5kCh90ntAgA,퇴근 후 혼밥러 - 당 충전에는 빵집 털기! 편,1162168,22243,786,2025-03-05T09:00:52Z,256,"['빵집', '뚜레쥬르', '파리바게트', '우유크림도넛', '찹쌀도너츠', '꽈배기', '피자빵', '먹방', '사라다빵', 'mukbang']",https://i.ytimg.com/vi/goW230PTTE0/hqdefault.jpg
R7sdeFooM7U,1,UCAS5U0gUmtibgY0Kl-8KD8A,"《재미없으면 책임집니다》🔥꿀잼, 시간순삭 보장🔥역대급 반전!!매회'시청률'쭉쭉↑상승한 개꿀잼 드라마'오랫동안 당신을 기다렸습니다'",664247,3176,99,2025-03-07T11:00:40Z,4624,"['영화 결말포함', '영화', '무비', '결말포함', '영화리뷰 결말포함', '영화리뷰', '넷플릭스', '디즈니플러스', '아마존프라임', '웨이브', '오랫동안당신을기다렸습니다 몰아보기', '오랫동안당신을기다렸습니다']",https://i.ytimg.com/vi/R7sdeFooM7U/hqdefault.jpg
qbYtrQ49RNQ,1,UCYZ4k7X4QH55oWC9Ljh98nA,😢감동실화😢 🔥🔥단 한번도 보지못한 경이로운 경험 엄청난 연기 ㄷㄷ🔥🔥(영화리뷰/결말포함),327349,3674,69,2025-03-08T08:33:37Z,2786,"['영화', '결말포함', '리뷰', '명작', '평점', '몰아보기', '여자영화', '아마존', '디즈니', '반전']",https://i.ytimg.com/vi/qbYtrQ49RNQ/hqdefault.jpg
LkcanO4Eank,1,UCfuL4dFQRjGhJ20ZYVGmOgQ,COMPILATION of the BEST Animation 💥❤️(PART 22) SPRUNKI x Smiling Critters | (Animation) 순간순간! 포드보카,291339,2222,13,2025-03-10T12:00:35Z,601,"['Smiling Critters', 'poppy play time chapter 3', 'catnap', 'cartoon', 'animation', 'funny cartoon', 'sprunki', 'incredibox', 'squid game 2']",https://i.ytimg.com/vi/LkcanO4Eank/hqdefault.jpg
MnLdN5nteNE,1,UC3xi5oaSoAKiFUAvwuyDEFA,"와...미친 특수능력을 가진 ""전 세계 1위 킬러""를 잘못 건드렸다가 거대 범죄조직이 초토화 당하는 통쾌한 액션 영화",491113,3855,79,2025-03-07T09:25:35Z,1218,"['결말포함', '영화리뷰', '영화추천', '액션영화', '전쟁영화', '최신작']",https://i.ytimg.com/vi/MnLdN5nteNE/hqdefault.jpg
TQz5IN4Jwm4,1,UCBquPwf_YEAzCmPpd_tfzAA,"《폭싹 속았수다 3막》 선공개 떴다..🔥 드디어 밝혀진 금명이 결혼식장 ""남편""의 정체..ㄷㄷ 근데 영범이가 아니라고?",672584,3223,312,2025-03-17T12:18:12Z,483,[],https://i.ytimg.com/vi/TQz5IN4Jwm4/hqdefault.jpg
JvVlsHjGq08,1,UCBquPwf_YEAzCmPpd_tfzAA,"🔥라인업 미쳤다..🔥 히든카드 ""야당""부터 상반기 극장 개봉예정《한국영화 라인업 총정리》 야.. 이번이 진짜네ㄷㄷ",327734,2176,242,2025-03-13T10:18:48Z,816,[],https://i.ytimg.com/vi/JvVlsHjGq08/hqdefault.jpg
RLc2up0swRw,1,UCcfz-8gGDYJfaRHYD7kkQpw,현재 OTT 전세계 1위는 이 영화입니다!🔥이제껏 본적 없는 기괴한 생명체🔥안야 테일러조이《더 캐니언》몰입감 3300% 클릭하는 순간 끝나는 SF최신영화,738867,5049,325,2025-02-28T07:01:32Z,1225,[],https://i.ytimg.com/vi/RLc2up0swRw/hqdefault.jpg
ZZ0jVTDoxK4,1,UCaHGOzOyeYzLQeKsVkfLEGA,"단 ""3분"" 동안의 ""세 마디""로 3조를 버는 미친 말빨을 지닌, IQ 230 천재의 직업 ㄷㄷ ≪협상의 기술≫1-2",754585,6423,403,2025-03-12T08:00:33Z,1319,"['영화', '지무비', '드라마', '협상의기술', '협상의 기술', '이제훈', '김대명', '성동일', '장현성', 'Lee je hoon']",https://i.ytimg.com/vi/ZZ0jVTDoxK4/hqdefault.jpg
l5vPnkVzgO8,1,UCuK80YHBZyyKrr2B1oHrgrw,"너무 재밌어서 이메일 1,000통 보내고 저작권 허락 받아왔습니다",452497,5121,337,2025-03-15T00:00:43Z,2529,"['결말포함 몰아보기', '시즌1 몰아보기', 'BMS 몰아보기']",https://i.ytimg.com/vi/l5vPnkVzgO8/hqdefault.jpg
fTcsK9kRFIg,1,UCfObDXCZ9mFHSdDdX1cvMqA,"와...하필이면 은퇴 후 조용히 살아가던 전직 ""특수부대 대장""을 건드려버린 범죄조직의 역대급 최후..ㄷㄷ [영화리뷰/결말포함]《시간순삭 최신 액션영화 몰아보기》",335011,2101,47,2025-03-08T10:00:48Z,1436,"['영화리뷰', '결말포함', '영화리뷰 결말포함', '결말포함 영화리뷰', '영화추천', '영화소개', '범죄조직의 최후', '하필이면 건드려버린', '최신영화', '액션영화리뷰 결말', '액션영화', '힘을 숨기고 있던', '액션영화 추천', '킬러들', '킬러', '킬러영화', '최신 액션영화', '참교육 영화', '참교육', '참교육 영화리뷰']",https://i.ytimg.com/vi/fTcsK9kRFIg/hqdefault.jpg
HuErgTIeQO8,1,UCBHXCaw_W6sxfgAB7rC-BYw,역대 최강 킬러들의 숨막히는 암살 장면 총정리 《킬러 총정리》,295347,1667,105,2025-03-11T08:39:00Z,2467,"['소개해주는 남자', '영화', '드라마', '영화 명장면', '드라마 명장면', '최악의 악', '최악의 악 서부장', '최악의 악 명장면', '비질란테 명장면', '비질란테', '사냥개들', '사냥개들 명장면', '귀공자', '영화 귀공자 명장면', '존윅 명장면', '메카닉 명장면']",https://i.ytimg.com/vi/HuErgTIeQO8/hqdefault.jpg
e8MFETKKLIM,1,UCaHGOzOyeYzLQeKsVkfLEGA,"몸무게 100kg 자존감 바닥 찐따이지만 노래실력은 끝판왕이었던 여고생이, 뚱뚱하단 이유만으로 왕따당하자 각성해서 50kg 감량 후, 아이유로 환골탈태해 슈퍼스타되는 전설의 드라마",417754,4336,320,2025-03-09T01:00:36Z,3046,"['영화', '지무비', '드라마', '아이유', '수지', '김수현', '옥택연', 'IU', 'Lee Ji-eun', 'Bae Suzy', '배수지', 'Kim Soo-hyun', 'Taecyeon', 'Ok Taec-yeon']",https://i.ytimg.com/vi/e8MFETKKLIM/hqdefault.jpg
LOTEH48Oav8,1,UCZZLitetDJATgDM85c19CWA,헐.. 치킨시켰다 보느라 한개도 못 먹음.. 진짜 빠져듭니다 이 영화..!!!,672672,4862,137,2025-03-13T09:01:20Z,2655,"['movie', 'entertainment', 'tv shows', '영화', '영화리뷰', '시네마', '개봉작', '예고편', '영화소개', '다시보기', '스릴러', '공포', '넷플릭스', '드라마', '드라마리뷰']",https://i.ytimg.com/vi/LOTEH48Oav8/hqdefault.jpg
hkKTVUQnJH8,1,UCpcft4FJXgUjnxWoQYsl7Ug,자녀를 대한민국 1%로 만들기 위해 강남 최고의 초등학교 추첨장에 모인 핫이슈 엄마들의 신경전이 시작된다..! [라이딩 인생 3-4회],462758,3147,93,2025-03-13T08:00:40Z,1979,"['고몽', '리뷰', '소개', '영화', '드라마', 'drama', 'movie']",https://i.ytimg.com/vi/hkKTVUQnJH8/hqdefault.jpg
X71wTMZm5Z8,1,UCKo9E6a6-E40CC6OdSbvcdA,ASMR 시원함 주의! 오랫동안 꽉 막힌 왕귀지 제거하기 | 귀청소 | Deep & Stony Hard Earwax Removal | Ear Cleaning,5094584,25165,411,2025-03-05T07:40:09Z,262,[],https://i.ytimg.com/vi/X71wTMZm5Z8/hqdefault.jpg
tcBLqdJbXBA,1,UCaHGOzOyeYzLQeKsVkfLEGA,엌ㅋㅋㅋㅋ 절묘하게 한국어처럼 들리는 영화 속 외국 대사들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,724313,11903,991,2025-03-08T01:00:47Z,853,"['영화', '지무비', '드라마', '몬더그린', '리그오브레전드', '롤', '오버워치', '밈', '미드소마', '빌어먹을세상따위', '엽문', '킹오파', '킹오브파이터', '짐캐리', 'G리는시리즈']",https://i.ytimg.com/vi/tcBLqdJbXBA/hqdefault.jpg
ho2Wou0t0Bo,1,UCLtwNfpVdcrLxuNbkQIDEuw,와..... 진짜 미쳤습니다..... 꼭!! 안 바쁠 때만 클릭하세요 🔥 너무 재밌어서 50분 순삭됩니다....,1383896,11700,378,2025-03-05T09:18:29Z,3113,[],https://i.ytimg.com/vi/ho2Wou0t0Bo/hqdefault.jpg
hXrxNAdzpRA,1,UCXvftM-43hGjGc1TA-8Y_IA,제작비 950억?!!  미쳐버린 화끈함으로 15분을 순삭시키는 《힘을 숨긴 네이비 씰 특수부대》의 레전드 전쟁 액션 [영화리뷰 결말포함],268538,2082,81,2025-03-18T00:54:17Z,889,[],https://i.ytimg.com/vi/hXrxNAdzpRA/hqdefault.jpg
MexRsmi2WTc,1,UCCiLsaC6uPxvpewPjIXxZXA,❗감동주의❗🔥평범한 남성이 갑자기 초능력을 갖게 되면 생기는 일🔥(영화리뷰/결말포함),355243,3577,149,2025-03-07T23:00:19Z,1808,"['영화', '결말포함', '리뷰', '명작', '평점', '몰아보기', '아마존', '디즈니', '띵작', '시간순삭']",https://i.ytimg.com/vi/MexRsmi2WTc/hqdefault.jpg
DQRv2zHJAk4,1,UCBquPwf_YEAzCmPpd_tfzAA,"《폭싹 속았수다 2막》 선공개 떴다..🔥 ""부계장"" 된 애순이와 빌런 ""학씨 형님""의 계장 선거 배틀..ㄷㄷ 빨리 금요일 와라",306140,2035,251,2025-03-11T10:05:17Z,513,[],https://i.ytimg.com/vi/DQRv2zHJAk4/hqdefault.jpg
6OS_mT9WkzM,1,UCaHGOzOyeYzLQeKsVkfLEGA,"얼굴은 서강준에 국정원 요원인 우리 오빠가 임무 때문에 우리 학교에 고딩으로 위장잠입했는데, 오빠한테 첫눈에 반한 악질 일진녀가 날 괴롭히던 중 오빠에게 걸려버렸다 ㅋ 잘가~~",909870,7735,412,2025-03-11T09:00:06Z,2352,"['영화', '지무비', '드라마', '서강준', '언더커버하이스쿨', '진기주', '김민주', '김의성', 'Seo kang joon', '참교육', '일진', '사이다', 'kim min ju']",https://i.ytimg.com/vi/6OS_mT9WkzM/hqdefault.jpg
Mc2AL0AqLgA,1,UCZA0JYHSFMqDhwCtul9Lg5A,"《끝까지 몰아보기》'넷플릭스 1위'🔥조회수1.3억뷰!!🔥무빙,조명가게로 대박친 강풀의 신작'마녀'",341850,2239,200,2025-03-17T10:00:27Z,4958,"['아마존프라임', '넷플릭스', '디즈니플러스', '액션영화 결말포함', '결말포함', '영화 결말포함', '영화', '무비', '영화리뷰 결말포함', '영화리뷰', '웨이브', '드라마 몰아보기', '드라마 결말포함', '드라마 리뷰', '드라마 리뷰 결말포함', '마녀 몰아보기', '마녀 결말포함', '마녀']",https://i.ytimg.com/vi/Mc2AL0AqLgA/hqdefault.jpg
OICSP_dlFOc,1,UCRvtSqoNIN8zdxCGgMkAZ0w,Lamputㅣ기발한 발명품으로 램풋을 잡아라!ㅣ램풋ㅣ베스트 모음집ㅣ카툰네트워크ㅣCartoon Network,1047482,3956,0,2025-03-10T09:02:35Z,915,"['카툰', '카툰네트워크', '카넷', 'Cartoon Network']",https://i.ytimg.com/vi/OICSP_dlFOc/hqdefault.jpg
