categoryID,translated_keyword,score
1,사람,0.6939999
1,의류,0.46196422
1,표정,0.19396602
1,스크린샷,0.1919991
1,행복,0.15458162
1,뉴스,0.123022184
1,영화,0.11120434
1,광고,0.10926856
1,애니메이션,0.108316325
1,노래,0.10707058
1,엔터테인먼트,0.106548674
1,공연 예술,0.10556871
1,공연,0.09609175
1,아우터웨어,0.07900681
1,전자 기기,0.06675427
1,바지,0.06426325
1,음식,0.063212305
1,케이팝,0.06295198
1,디스플레이 장치,0.062249716
1,만화,0.060684893
2,자동차,0.53145254
2,사람,0.40439966
2,럭셔리 차량,0.32607713
2,차 문,0.29080963
2,의류,0.28642792
2,바퀴,0.2725938
2,타이어,0.24301101
2,스크린샷,0.13867854
2,광고,0.13728385
2,디스플레이 장치,0.12853019
2,기술,0.09030801
2,뉴스,0.08009907
2,가젯,0.07708373
2,전자 기기,0.075446196
2,멀티미디어,0.06648302
2,전자 제품,0.05450967
2,아우터웨어,0.052215394
2,바지,0.04316773
2,보안,0.042221975
2,모델,0.029325506
3,사람,0.4698857
3,음식,0.39372462
3,의류,0.3478348
3,레시피,0.29731634
3,재료,0.2757847
3,요리,0.23872519
3,위안 음식,0.21336439
3,식기류,0.20766038
3,그릇,0.10767153
3,스크린샷,0.10063278
3,주식,0.09875678
3,광고,0.08670195
3,패스트푸드,0.080281205
3,반찬,0.079357535
3,행복,0.07805192
3,여행,0.07795492
3,수프,0.0772497
3,고기,0.07293835
3,핑거푸드,0.06758644
3,식기,0.067479536
4,애니메이션,0.56710315
4,비디오 게임 소프트웨어,0.516098
4,스크린샷,0.4878199
4,가상의 인물,0.42907825
4,피씨 게임,0.4245455
4,게임,0.34980142
4,사람,0.33248246
4,액션 어드벤처 게임,0.22074316
4,애니메이션 만화,0.21601819
4,어드벤처 게임,0.18011624
4,전략 비디오 게임,0.17970473
4,의류,0.17796434
4,디지털 합성,0.16187146
4,개인용 컴퓨터,0.16010295
4,그래픽스,0.15262756
4,CG 아트워크,0.14535564
4,만화,0.13989578
4,애니메이션,0.12791628
4,기술,0.1099307
4,그래픽 디자인,0.108874395
5,사람,0.8106803
5,의류,0.5839095
5,스포츠 경기장,0.3240597
5,스포츠,0.24368447
5,저지,0.21551213
5,야구,0.17809938
5,운동복,0.16619119
5,플레이어,0.15837352
5,유니폼,0.14686279
5,로고,0.12291881
5,모자,0.11427934
5,스포츠 팬 저지,0.113141894
5,스크린샷,0.11303286
5,배트와 공 게임,0.11013284
5,모자,0.1095354
5,경기장,0.1087655
5,축구 선수,0.10170184
5,광고,0.10049686
5,축구 선수,0.100378454
5,바지,0.09920806
6,사람,0.56455547
6,의류,0.37123632
6,스크린샷,0.1498917
6,음식,0.14228883
6,표정,0.12570918
6,행복,0.10184949
6,재료,0.10161283
6,레시피,0.101373106
6,광고,0.083004825
6,요리,0.08100824
6,아이,0.077222146
6,아우터웨어,0.071185865
6,식기류,0.07116476
6,바지,0.069602005
6,디스플레이 장치,0.0689493
6,가젯,0.06868107
6,위안 음식,0.06450339
6,전자 기기,0.06263637
6,뉴스,0.062469386
6,가족,0.058807172
7,사람,0.66933763
7,뉴스,0.47319794
7,의류,0.4069705
7,스크린샷,0.3396445
7,광고,0.28583497
7,화이트칼라 노동자,0.19777207
7,안경,0.16330291
7,사업가,0.162102
7,표정,0.14390206
7,디스플레이 장치,0.14269944
7,대변인,0.13120985
7,코트,0.12320855
7,텔레비전 프로그램,0.11095299
7,공식적인,0.10986868
7,연설,0.09027612
7,넥타이,0.08805009
7,정장,0.08421233
7,아우터웨어,0.084146686
7,조직,0.08287303
7,멀티미디어,0.079246044
8,육식동물,0.35293534
8,사람,0.2857099
8,동물,0.27730852
8,개과,0.23988518
8,개,0.22702114
8,모피,0.22637396
8,주둥이,0.20573717
8,의류,0.20297007
8,고양이,0.15749575
8,고양이과,0.14581236
8,펠리나에,0.1351665
8,스크린샷,0.10380259
8,음식,0.09084474
8,아이,0.0750514
8,표정,0.06441455
8,장난감,0.06255837
8,애니메이션,0.06040294
8,행복,0.055963118
8,디스플레이 장치,0.052659173
8,유아,0.050365284
9,사람,0.55125624
9,의류,0.3567505
9,스크린샷,0.34034374
9,광고,0.20704675
9,뉴스,0.17827977
9,행복,0.1646361
9,표정,0.15489882
9,그래픽 디자인,0.12430853
9,텍스트,0.11347311
9,애니메이션,0.113123596
9,그래픽스,0.109873064
9,글꼴,0.10830418
9,디스플레이 장치,0.095240906
9,만화,0.0882286
9,화이트칼라 노동자,0.08573761
9,멀티미디어,0.08565804
9,안경,0.07385422
9,애니메이션 만화,0.07250215
9,코트,0.06756009
9,사업가,0.0625338
10,기술,0.419112
10,가젯,0.4075433
10,전자 기기,0.35831383
10,디스플레이 장치,0.34107137
10,사람,0.3106872
10,스크린샷,0.24338418
10,전자 제품,0.23404641
10,의류,0.20794143
10,휴대폰,0.20008974
10,통신 장치,0.18958302
10,멀티미디어,0.17784666
10,컴퓨터,0.16790913
10,스마트폰,0.15556918
10,전화통신,0.14213783
10,휴대용 통신 장치,0.13470848
10,컴퓨터 하드웨어,0.124795035
10,광고,0.12175389
10,모바일 기기,0.11659307
10,개인용 컴퓨터,0.11553514
10,그래픽 디자인,0.09227576
